Code,Name,ListingDate,Shares,ListingBoard,Sector,LastPrice,MarketCap,MinutesFirstAdded,MinutesLastUpdated,HourlyFirstAdded,HourlyLastUpdated,DailyFirstAdded,DailyLastUpdated
ALTO,Multipolar Tbk.,11/6/1989,15682323987,Utama,Industrials,140,2.20E+12,11/1/2021 9:00,11/18/2022 15:59,4/16/2020 9:00,11/18/2022 16:00,4/16/2001,11/18/2022
AMAG,Unggul Indah Cahaya Tbk.,11/6/1989,383331363,Utama,Basic Materials,10400,3.99E+12,11/1/2021 9:00,11/18/2022 15:59,4/16/2020 9:00,11/18/2022 16:00,4/16/2001,11/18/2022
AMAN,Astra Graphia Tbk.,11/15/1989,1348780500,Utama,Industrials,935,1.26E+12,11/1/2021 9:00,11/18/2022 15:59,4/16/2020 9:00,11/18/2022 16:00,4/16/2001,11/18/2022
AMAR,Bank Maybank Indonesia Tbk.,11/21/1989,75357433911,Utama,Financials,244,1.84E+13,11/1/2021 9:00,11/18/2022 15:59,4/16/2020 9:00,11/18/2022 16:00,4/16/2001,11/18/2022
AMFG,Citra Tubindo Tbk.,11/28/1989,800371500,Utama,Basic Materials,1690,1.35E+12,11/1/2021 9:00,11/18/2022 15:59,4/16/2020 9:00,11/18/2022 16:00,4/16/2001,11/18/2022
AMIN,Asuransi Bintang Tbk.,11/29/1989,348386472,Pengembangan,Financials,496,1.73E+11,11/1/2021 9:00,11/18/2022 15:59,4/16/2020 9:00,11/18/2022 16:00,4/16/2001,11/18/2022
AMMS,Bank CIMB Niaga Tbk.,11/29/1989,24880290775,Utama,Financials,1175,2.92E+13,11/1/2021 9:00,11/18/2022 15:59,4/16/2020 9:00,11/18/2022 16:00,4/16/2001,11/18/2022
AMOR,Indocement Tunggal Prakarsa Tb,12/5/1989,3681231699,Utama,Basic Materials,9900,3.64E+13,11/1/2021 9:00,11/18/2022 15:59,4/16/2020 9:00,11/18/2022 16:00,4/16/2001,11/18/2022
AMRT,Bank Danamon Indonesia Tbk.,12/6/1989,9675817341,Utama,Financials,3030,2.93E+13,11/1/2021 9:00,11/18/2022 15:59,4/16/2020 9:00,11/18/2022 16:00,4/16/2001,11/18/2022
ANDI,Asuransi Dayin Mitra Tbk.,12/15/1989,192000000,Utama,Financials,940,1.80E+11,11/1/2021 9:00,11/18/2022 15:59,4/16/2020 9:00,11/18/2022 16:00,4/16/2001,11/18/2022
ANJT,Inter Delta Tbk,12/18/1989,591828000,Pengembangan,Basic Materials,183,1.08E+11,11/1/2021 9:00,11/18/2022 15:59,4/16/2020 9:00,11/18/2022 16:00,4/16/2001,11/18/2022
ANTM,Bank Permata Tbk.,1/15/1990,35819545925,Utama,Financials,1175,4.21E+13,11/1/2021 9:00,11/18/2022 15:59,4/16/2020 9:00,11/18/2022 16:00,4/16/2001,11/18/2022
APEX,Multi Prima Sejahtera Tbk,2/5/1990,425000000,Pengembangan,Consumer Cyclicals,404,1.72E+11,11/1/2021 9:00,11/18/2022 15:59,4/16/2020 9:00,11/18/2022 16:00,4/16/2001,11/18/2022
APIC,Rig Tenders Indonesia Tbk.,3/5/1990,609130000,Pengembangan,Energy,545,3.32E+11,11/1/2021 9:00,11/18/2022 15:59,4/16/2020 9:00,11/18/2022 16:00,4/16/2001,11/18/2022
APII,Bentoel Internasional Investam,3/5/1990,36401136250,Utama,Consumer Non-Cyclicals,306,1.11E+13,,,4/16/2020 9:00,4/15/2022 16:00,4/18/2022,11/18/2022
APLI,Bakrie Sumatera Plantations Tb,3/6/1990,2500162344,Utama,Consumer Non-Cyclicals,152,3.80E+11,11/1/2021 9:00,11/18/2022 15:59,4/16/2020 9:00,11/18/2022 16:00,4/16/2001,11/18/2022
APLN,Asuransi Ramayana Tbk.,3/19/1990,304283840,Pengembangan,Financials,1625,4.94E+11,11/1/2021 9:00,11/18/2022 15:59,4/16/2020 9:00,11/18/2022 16:00,4/16/2001,11/18/2022
